"No","표준명 [INGR_KOR_NAME] ","영문명 [INGR_ENG_NAME] ","CASNO [CAS_NO] ","기원및정의 [ORIGIN_MAJOR_KOR_NAME] ","이명 [INGR_SYNONYM] ","rownum"
"163","메밀잎추출물","Polygonum Fagopyrum (Buckwheat) Leaf Extract","89958-09-8","이 원료는 메밀(Buckwheat) Polygonum fagopyrum 잎에서 추출한 것이다.","","163"
"164","구주소나무솔방울추출물","Pinus Sylvestris Cone Extract","94226-48-5","이 원료는 구주소나무 Pinus sylvestris의 솔방울에서 추출한 것이다.","","164"
"165","메티오닌","Methionine","63-68-3,59-51-8,348-67-4(D-)","이 원료는 다음의 구조를 갖는 아미노산이다.","메치오닌","165"
"166","메티콘","Methicone","63148-57-2,9004-73-3","이 원료는 선형의 모노메틸폴리실록세인이다. 주로 다음의 구조를 갖는다.","메치콘","166"
"167","메틸글루세스-10","Methyl Gluceth-10","68239-42-9(generic)","이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 10이다.","메칠글루세스-10","167"
"168","메틸글루세스-20","Methyl Gluceth-20","68239-42-9(Generic)","이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 20이다.","메칠글루세스-20","168"
"169","메틸글루세스-20벤조에이트","Methyl Gluceth-20 Benzoate","","이 원료는 메틸글루세스-20과 벤조익애씨드의 에스터이다.","메칠글루세스-20벤조에이트","169"
"170","메틸글루카민","Methylglucamine","6284-40-8","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠글루카민","170"
"171","메틸글루코오스다이올리에이트","Methyl Glucose Dioleate","122703-32-6,82933-91-3","이 원료는 메틸글루코사이드와 올레익애씨드의 다이에스터이다.","메칠글루코오스디올리에이트","171"
"172","메틸글루코오스세스퀴스테아레이트","Methyl Glucose Sesquistearate","68936-95-8","이 원료는 메틸글루코사이드와 스테아릭애씨드의 모노- 혹은 다이에스터의 혼합물이다.","메칠글루코오스세스퀴스테아레이트","172"
"173","메틸니코티네이트","Methyl Nicotinate","93-60-7","이 원료는 메틸알코올 및 니코티닉애씨드의 에스터이다. 다음의 구조를 갖는다.","메칠니코티네이트","173"
"174","메틸다이-t-부틸하이드록시하이드로신나메이트","Methyl Di-t-butyl Hydroxyhydrocinnamate","6386-38-5","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠디-t-부틸하이드록시하이드로신나메이트","174"
"175","구주소나무싹추출물","Pinus Sylvestris Bud Extract","","이 원료는 구주소나무 Pinus sylvestris의 싹에서 추출한 것이다.","","175"
"176","메틸다이아이소프로필프로피온아마이드","Methyl Diisopropyl Propionamide","51115-67-4","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠디이소프로필프로피온아마이드","176"
"177","메틸다이하이드로자스모네이트","Methyldihydrojasmonate","2630-39-9,24851-98-7","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠디하이드로자스모네이트","177"
"178","2-메틸레조시놀","2-Methylresorcinol","608-25-3","이 원료는 다음의 구조를 갖는 방향족 화합물이다.","2-메칠레조시놀","178"
"179","메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀","Methylene Bis-Benzotriazolyl Tetramethylbutylphenol","103597-45-1","이 원료는 다음의 구조를 갖는 헤테로사이클릭 화합물이다","","179"
"180","메틸3-메틸레조실레이트","Methyl 3-Methylresorcylate","33662-58-7","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠3-메칠레조실레이트","180"
"181","메틸메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머","Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer","25777-71-3","이 원료는 메틸메타크릴레이트와 에틸글라이콜다이메타크릴레이트모노머의 교차공중합체이다.","메칠메타크릴레이트/글라이콜디메타크릴레이트크로스폴리머","181"
"182","메틸메타크릴레이트/아크릴로나이트릴코폴리머","Methyl Methacrylate/Acrylonitrile Copolymer","30396-85-1","이 원료는 메틸메타크릴레이트 및 아크릴로나이트릴모노머의 공중합체이다.","메칠메타크릴레이트/아크릴로나이트릴코폴리머","182"
"183","메틸메타크릴레이트크로스폴리머","Methyl Methacrylate Crosspolymer","25777-71-3","이 원료는 글라이콜다이메타크릴레이트와 가교된 메틸메타크릴레이트의 공중합체이다.","메칠메타크릴레이트크로스폴리머","183"
"184","메틸벤조에이트","Methyl Benzoate","93-58-3","이 원료는 다음의 구조를 갖는 메틸알코올과 벤조익애씨드의 에스터이다.","메칠벤조에이트","184"
"185","구주소나무잎오일","Pinus Sylvestris Leaf Oil","8023-99-2","이 원료는 구주소나무 Pinus sylvestris의 바늘잎에서 얻은 휘발성 오일이다.","","185"
"186","4-메틸벤즈알데하이드","4-Methylbenzaldehyde","104-87-0","이 원료는 다음의 구조를 갖는 유기화합물이다.","4-메칠벤즈알데하이드","186"
"187","4-메칠벤질리덴캠퍼","4-Methylbenzylidene Camphor","36861-47-9,38102-62-4","이 원료는 다음의 구조를 갖는 방향족 유기화합물이다.","4-메틸벤질리덴캠퍼","187"
"188","메틸사이클로덱스트린","Methyl Cyclodextrin","128446-36-6","이 원료는 사이클로덱스트린을 메틸화하여 얻은 생성물이다.","메칠사이클로덱스트린","188"
"189","메틸살리실레이트","Methyl Salicylate","119-36-8","이 원료는 다음의 구조를 갖는 메틸알코올과 살리실릭애씨드의 에스터이다.","메칠살리실레이트","189"
"190","메틸세린","Methylserine","2480-26-4","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠세린","190"
"191","메틸셀룰로오스","Methylcellulose","9004-67-5","이 원료는 셀룰로오스의 메틸에터이다.","메칠셀룰로오스","191"
"192","메틸소이에이트","Methyl Soyate","67784-80-9,68919-53-9","이 원료는 메틸알코올과 소이애씨드의 에스터이다. 주로 다음의 구조를 갖으며 RCO-는 콩오일에서 얻은 지방산이다.","메칠소이에이트","192"
"193","메틸스타이렌/비닐톨루엔코폴리머","Methylstyrene/Vinyltoluene Copolymer","9017-27-0","이 원료는 메틸스타이렌과 비닐톨루엔 모노머들의 중합체이다.","메칠스타이렌/비닐톨루엔코폴리머","193"
"194","메틸실란올만누로네이트","Methylsilanol Mannuronate","102397-69-3","이 원료는 모노메틸실란올 및 올리고머릭만누로닉애씨드의 에스터이다. 주로 다음의 구조를 갖는다.","메칠실라놀만누로네이트","194"
"195","메틸실란올카복시메틸테오필린알지네이트","Methylsilanol Carboxymethyl Theophylline Alginate","","이 원료는 메틸실란올카복시메틸테오필린과 알지닉애씨드의 반응물이다.","메칠실라놀카복시메칠테오필린알지네이트","195"
"196","구주소나무잎추출물","Pinus Sylvestris Leaf Extract","84012-35-1","이 원료는 구주소나무 Pinus sylvestris의 잎에서 추출한 것이다.","","196"
"197","메틸실란올피이지-7글리세릴코코에이트","Methylsilanol PEG-7 Glyceryl Cocoate","","이 원료는 다음의 구조를 갖는 에톡실화된 에스터이며 RCO-는 코코넛오일로 부터 얻은 지방산 라디칼이다.","메칠실라놀피이지-7글리세릴코코에이트","197"
"198","메틸실란올하이드록시프롤린아스파테이트","Methylsilanol Hydroxyproline Aspartate","","이 원료는 메틸실란올 하이드록시프롤린과 아스파틱애씨드의 반응물이다.","메칠실라놀하이드록시프롤린아스파테이트","198"
"199","메틸실란올/실리케이트크로스폴리머","Methylsilanol/Silicate Crosspolymer","68584-81-6","이 원료는 실리카와 메틸실란올의 반응에 의해 얻은 크로스폴리머이다.","메칠실란올/실리케이트크로스폴리머","199"
"200","메틸실란올트라이-피이지-8글리세릴코코에이트","Methylsilanol Tri-PEG-8 Glyceryl Cocoate","","이 원료는 다음의 구조를 갖는 에톡실화된 에스터다. RCO-는 코코넛오일에서 얻은 지방산 라디칼이다.","메칠실란올트리-피이지-8글리세릴코코에이트","200"
"201","메틸아세테이트","Methyl Acetate","79-20-9","이 원료는 메틸알코올과 아세틱애씨드의 에스터이다.","메칠아세테이트","201"
"202","메틸안트라닐레이트","Methyl Anthranilate","134-20-3","이 원료는 메틸알코올과 2-아미노벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.","메칠안트라닐레이트","202"
"203","메틸2-옥티노에이트","Methyl 2-Octynoate","111-12-6","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠2-옥티노에이트","203"
"204","메틸유제놀","Methyl Eugenol","93-15-2","이 원료는 다음의 구조를 갖는 방향족 화합물이다.","메칠유제놀","204"
"205","메틸유제닐피이지-8다이메티콘","Methyleugenyl PEG-8 Dimethicone","200443-93-2","이 원료는 메틸유제닐다이메티콘 및 피이지-8다이메티콘의 공중합체이다.","메칠유제닐피이지-8디메치콘","205"
"206","메칠이소치아졸리논","Methylisothiazolinone","2682-20-4","이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.","","206"
"207","암브레트씨추출물","Hibiscus Abelmoschus Seed Extract","","이 원료는 암브레트 Hibiscus abelmoschus의 씨에서 추출한 것이다.","구주아욱씨추출물","207"
"208","메틸카프로에이트","Methyl Caproate","106-70-7","이 원료는 메틸알코올과 카프로익애씨드의 에스터이다. 주로 다음의 구조를 갖는다.","메칠카프로에이트","208"
"209","메틸코코에이트","Methyl Cocoate","61788-59-8","이 원료는 코코넛 지방산과 메틸알코올의 에스터이다. 주로 다음의구조를 갖으며 RCO-는 코코넛오일로부터 얻은 지방산이다.","메칠코코에이트","209"
"210","메칠클로로이소치아졸리논","Methylchloroisothiazolinone","26172-55-4","이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.","","210"
"211","메틸타이로시네이트에이치씨엘","Methyl Tyrosinate HCl","3417-91-2","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠타이로시네이트에이치씨엘","211"
"212","메틸트라이메티콘","Methyl Trimethicone","17928-28-8","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠트리메치콘","212"
"213","메틸파라벤","Methylparaben","99-76-3","이 원료는 메틸알코올과 파라-하이드록시벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.","메칠파라벤","213"
"214","메틸퍼플루오로부틸에터","Methyl Perfluorobutyl Ether","163702-07-6","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠퍼플루오로부틸에텔","214"
"215","메틸퍼플루오로아이소부틸에터","Methyl Perfluoroisobutyl Ether","163702-08-7","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠퍼플루오로이소부틸에텔","215"
"216","메틸페닐부탄올","Methyl Phenylbutanol","103-05-9","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠페닐부탄올","216"
"217","메틸펠라고네이트","Methyl Pelargonate","1731-84-6","이 원료는 메틸알코올과 펠라고닉애씨드의 에스터이다. 다음의 구조를 갖는다.","메칠펠라고네이트","217"
"218","칡뿌리가루","Pueraria Lobata Root Powder","","이 원료는 칡 Pueraria lobata(=Pueraria thunbergiana)의 뿌리를 건조하여 가루로 한 것이다.","갈근가루","218"
"219","암브레트추출물","Hibiscus Abelmoschus Extract","84455-19-6","이 원료는 암브레트 Hibiscus abelmoschus의 전초에서 추출한 것이다.","구주아욱추출물","219"
"220","메칠폴리실록산에멀젼","Methylpolysiloxane Emulsion","","","","220"
"221","메틸프로판다이올","Methylpropanediol","2163-42-0","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠프로판디올","221"
"222","메틸피롤리돈","Methyl Pyrrolidone","51013-18-4,872-50-4","이 원료는 다음의 구조를 갖는 치환된 헤테로고리 유기화합물이다.","메칠피롤리돈","222"
"223","1-메틸하이단토인-2-이미드","1-Methylhydantoin-2-Imide","60-27-5","이 원료는 다음의 구조를 갖는 유기화합물이다.","1-메칠하이단토인-2-이미드","223"
"224","메틸하이드로제네이티드로지네이트","Methyl Hydrogenated Rosinate","8050-15-5","이 원료는 로진에서 유래된 수소첨가 알릭사이클릭애씨드와 메틸알코올의 에스터이다.","메칠하이드로제네이티드로지네이트","224"
"225","메틸헤스페리딘","Methyl Hesperidin","11013-97-1","이 원료는 다음의 구조를 갖는 유기화합물이다.","메칠헤스페리딘","225"
"226","메틸헵틸아이소스테아레이트","Methylheptyl Isostearate","209802-43-7","이 원료는 1-메틸헵탄올과 아이소스테아릭애씨드의 에스터로 다음의 구조를 갖는다.","메칠헵틸이소스테아레이트","226"
"227","메타크릴로일에틸베타인/아크릴레이트코폴리머","Methacryloyl Ethyl Betaine/Acrylates Copolymer","","이 원료는 두 개 혹은 그 이상의 메타크릴릭애씨드모노머 또는 그것의 단순한 에스터 및 메타크릴로일에틸베타인의 중합체이다.","메타크릴로일에칠베타인/아크릴레이트코폴리머","227"
"228","메타포스포릭애씨드","Metaphosphoric Acid","10343-62-1,37267-86-0","이 원료는 다음의 구조를 갖는 무기산이다.","","228"
"229","메텐아민","Methenamine","100-97-0","이 원료는 다음의 구조를 갖는 유기아민이다.","","229"
"230","국화추출물","Chrysanthemum Morifolium Flower Extract","","이 원료는 국화 Chrysanthemum morifolium의 꽃에서 추출한 것이다.","국화꽃추출물","230"
"231","메톡시신나미도프로필라우르다이모늄토실레이트","Methoxycinnamidopropyl Laurdimonium Tosylate","","이 원료는 다음의 구조를 갖는 4급 암모늄염이다.","메톡시신나미도프로필라우르디모늄토실레이트","231"
"232","메톡시신나미도프로필하이드록시설테인","Methoxycinnamidopropyl Hydroxysultaine","","이 원료는 다음의 구조를 갖는 양쪽성 이온이다.","","232"
"233","메톡시아모다이메티콘/실세스퀴옥세인코폴리머","Methoxy Amodimethicone/Silsesquioxane Copolymer","","이 원료는 메틸트라이메톡시실레인과 메톡시아모디메티콘 모노머들의 공중합체이다.","메톡시아모디메치콘/실세스퀴옥산코폴리머,아모다이메티콘/실세스퀴옥산코폴리머","233"
